value_name,value_index,value_format,value_length,value_type,magnification,determine,remark
标度化值217,16651,3byte_int,3,int,1,,
标度化值218,16652,3byte_int,3,int,1,,
标度化值219,16653,3byte_int,3,int,1,,
标度化值220,16654,3byte_int,3,int,1,,
标度化值221,16655,3byte_int,3,int,1,,
标度化值222,16656,3byte_int,3,int,1,,
标度化值223,16657,3byte_int,3,int,1,,
标度化值224,16658,3byte_int,3,int,1,,
标度化值225,16659,3byte_int,3,int,1,,
标度化值226,16660,3byte_int,3,int,1,,
标度化值227,16661,3byte_int,3,int,1,,
标度化值228,16662,3byte_int,3,int,1,,
标度化值229,16663,3byte_int,3,int,1,,
标度化值230,16664,3byte_int,3,int,1,,
标度化值231,16665,3byte_int,3,int,1,,
标度化值232,16666,3byte_int,3,int,1,,
标度化值233,16667,3byte_int,3,int,1,,
标度化值234,16668,3byte_int,3,int,1,,
标度化值235,16669,3byte_int,3,int,1,,
标度化值236,16670,3byte_int,3,int,1,,
标度化值237,16671,3byte_int,3,int,1,,
标度化值238,16672,3byte_int,3,int,1,,
标度化值239,16673,3byte_int,3,int,1,,
标度化值240,16674,3byte_int,3,int,1,,
标度化值241,16675,3byte_int,3,int,1,,
标度化值242,16676,3byte_int,3,int,1,,
标度化值243,16677,3byte_int,3,int,1,,
标度化值244,16678,3byte_int,3,int,1,,
标度化值245,16679,3byte_int,3,int,1,,
标度化值246,16680,3byte_int,3,int,1,,
标度化值247,16681,3byte_int,3,int,1,,
标度化值248,16682,3byte_int,3,int,1,,
标度化值249,16683,3byte_int,3,int,1,,
标度化值250,16684,3byte_int,3,int,1,,
标度化值251,16685,3byte_int,3,int,1,,
标度化值252,16686,3byte_int,3,int,1,,
标度化值253,16687,3byte_int,3,int,1,,
标度化值254,16688,3byte_int,3,int,1,,
标度化值255,16689,3byte_int,3,int,1,,
标度化值256,16690,3byte_int,3,int,1,,
标度化值257,16691,3byte_int,3,int,1,,
标度化值258,16692,3byte_int,3,int,1,,
标度化值259,16693,3byte_int,3,int,1,,
标度化值260,16694,3byte_int,3,int,1,,
标度化值261,16695,3byte_int,3,int,1,,
标度化值262,16696,3byte_int,3,int,1,,
标度化值263,16697,3byte_int,3,int,1,,
标度化值264,16698,3byte_int,3,int,1,,
标度化值265,16699,3byte_int,3,int,1,,
标度化值266,16700,3byte_int,3,int,1,,
标度化值267,16701,3byte_int,3,int,1,,
标度化值268,16702,3byte_int,3,int,1,,
标度化值269,16703,3byte_int,3,int,1,,
标度化值270,16704,3byte_int,3,int,1,,
标度化值271,16705,3byte_int,3,int,1,,
标度化值272,16706,3byte_int,3,int,1,,
标度化值273,16707,3byte_int,3,int,1,,
标度化值274,16708,3byte_int,3,int,1,,
标度化值275,16709,3byte_int,3,int,1,,
标度化值276,16710,3byte_int,3,int,1,,
标度化值277,16711,3byte_int,3,int,1,,
标度化值278,16712,3byte_int,3,int,1,,
标度化值279,16713,3byte_int,3,int,1,,
标度化值280,16714,3byte_int,3,int,1,,
标度化值281,16715,3byte_int,3,int,1,,
标度化值282,16716,3byte_int,3,int,1,,
标度化值283,16717,3byte_int,3,int,1,,
标度化值284,16718,3byte_int,3,int,1,,
标度化值285,16719,3byte_int,3,int,1,,
标度化值286,16720,3byte_int,3,int,1,,
标度化值287,16721,3byte_int,3,int,1,,
标度化值288,16722,3byte_int,3,int,1,,
标度化值289,16723,3byte_int,3,int,1,,
标度化值290,16724,3byte_int,3,int,1,,
